id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,base_hash,new_status,new_compiles,new_files,new_secs,new_hash
retrofit-0006,retrofit,retrofit2/RequestBuilder.java,method,"retrofit2.RequestBuilder#get()",ok,compiles,9,9.5,70023bc74207,ok,compiles,9,8.3,70023bc74207
retrofit-0007,retrofit,retrofit2/Utils.java,field,"retrofit2.Utils.GenericArrayTypeImpl#componentType",ok,compiles,1,5.0,e2a0fd9ae0e6,ok,compiles,1,5.3,e2a0fd9ae0e6
retrofit-0008,retrofit,retrofit2/HttpServiceMethod.java,field,"retrofit2.HttpServiceMethod.SuspendForResponse#callAdapter",ok,compiles,4,5.4,0a3c03631b7d,ok,compiles,4,4.8,0a3c03631b7d
retrofit-0009,retrofit,retrofit2/RequestFactory.java,method,"retrofit2.RequestFactory.Builder#parseHeaders(String[],boolean)",ok,fails,5,7.4,3e4498c8a3ae,ok,compiles,5,5.9,cbf37cca6dc3
retrofit-0010,retrofit,retrofit2/Invocation.java,method,"retrofit2.Invocation#toString()",ok,compiles,1,5.0,74affefa46af,ok,compiles,1,4.2,74affefa46af
retrofit-0011,retrofit,retrofit2/ParameterHandler.java,field,"retrofit2.ParameterHandler.Query#name",ok,compiles,1,4.8,08c16ba05d89,ok,compiles,1,4.2,08c16ba05d89
retrofit-0012,retrofit,retrofit2/RequestBuilder.java,method,"retrofit2.RequestBuilder.ContentTypeOverridingRequestBody#contentLength()",ok,fails,2,4.8,5dafbe7a93b2,ok,fails,2,4.4,5dafbe7a93b2
retrofit-0013,retrofit,retrofit2/CompletableFutureCallAdapterFactory.java,method,"retrofit2.CompletableFutureCallAdapterFactory.BodyCallAdapter#responseType()",ok,compiles,4,4.5,46d88a1d0ecd,ok,compiles,4,4.3,46d88a1d0ecd
retrofit-0014,retrofit,retrofit2/BuiltInFactories.java,method,"retrofit2.BuiltInFactories#createDefaultConverterFactories()",ok,compiles,2,3.5,ef0c71511410,ok,compiles,2,3.5,ef0c71511410
retrofit-0015,retrofit,retrofit2/OptionalConverterFactory.java,method,"retrofit2.OptionalConverterFactory#create()",ok,compiles,4,4.2,c2fe1f1a7158,ok,compiles,4,4.2,c2fe1f1a7158
retrofit-0016,retrofit,retrofit2/Invocation.java,field,"retrofit2.Invocation#arguments",ok,compiles,1,3.1,594ab228f851,ok,compiles,1,3.6,594ab228f851
retrofit-0017,retrofit,retrofit2/RequestBuilder.java,method,"retrofit2.RequestBuilder#setBody(RequestBody)",ok,compiles,3,4.2,723a7c7914b6,ok,compiles,3,4.4,723a7c7914b6
retrofit-0018,retrofit,retrofit2/HttpServiceMethod.java,method,"retrofit2.HttpServiceMethod.SuspendForBody#adapt(Call<ResponseT>,Object[])",crash,na,0,5.1,da39a3ee5e6b,crash,na,0,5.5,da39a3ee5e6b
retrofit-0019,retrofit,retrofit2/OkHttpCall.java,field,"retrofit2.OkHttpCall.ExceptionCatchingResponseBody#delegateSource",ok,compiles,4,4.2,85b61208855c,ok,compiles,4,5.0,85b61208855c
retrofit-0020,retrofit,retrofit2/CompletableFutureCallAdapterFactory.java,method,"retrofit2.CompletableFutureCallAdapterFactory.ResponseCallAdapter.ResponseCallback#ResponseCallback(CompletableFuture<Response<R>>)",ok,compiles,6,4.5,f98f496bd7fc,ok,compiles,6,4.3,f98f496bd7fc
retrofit-0021,retrofit,retrofit2/DefaultCallAdapterFactory.java,method,"retrofit2.DefaultCallAdapterFactory#get(Type,Annotation[],Retrofit)",ok,compiles,7,5.4,eec8ee51a698,ok,compiles,7,5.2,eec8ee51a698
retrofit-0022,retrofit,retrofit2/Response.java,method,"retrofit2.Response#success(T,Headers)",crash,na,0,11.3,da39a3ee5e6b,crash,na,0,10.5,da39a3ee5e6b
retrofit-0023,retrofit,retrofit2/ParameterHandler.java,method,"retrofit2.ParameterHandler.FieldMap#FieldMap(Method,int,Converter<T,String>,boolean)",ok,compiles,2,5.1,7dc3b24e5cae,ok,compiles,2,4.2,7dc3b24e5cae
retrofit-0024,retrofit,retrofit2/CompletableFutureCallAdapterFactory.java,method,"retrofit2.CompletableFutureCallAdapterFactory.BodyCallAdapter#BodyCallAdapter(Type)",ok,compiles,4,5.2,20ac025f19d9,ok,compiles,4,4.5,20ac025f19d9
retrofit-0025,retrofit,retrofit2/ParameterHandler.java,field,"retrofit2.ParameterHandler.PartMap#p",ok,compiles,1,4.7,a2e8abefc802,ok,compiles,1,4.6,a2e8abefc802
retrofit-0026,retrofit,retrofit2/ParameterHandler.java,method,"retrofit2.ParameterHandler.Body#apply(RequestBuilder,T)",ok,compiles,6,4.7,2024a50a7119,ok,compiles,6,5.3,2024a50a7119
retrofit-0027,retrofit,retrofit2/RequestFactory.java,method,"retrofit2.RequestFactory.Builder#validateResolvableType(int,Type)",ok,compiles,3,4.3,7e3b3a00fb23,ok,compiles,3,5.3,7e3b3a00fb23
retrofit-0028,retrofit,retrofit2/DefaultCallAdapterFactory.java,method,"retrofit2.DefaultCallAdapterFactory.ExecutorCallbackCall#timeout()",ok,compiles,4,5.0,4617ec585652,ok,compiles,4,4.8,4617ec585652
retrofit-0029,retrofit,retrofit2/OptionalConverterFactory.java,method,"retrofit2.OptionalConverterFactory.OptionalConverter#convert(ResponseBody)",ok,fails,6,5.2,230141675648,ok,fails,6,4.9,230141675648
retrofit-0030,retrofit,retrofit2/Invocation.java,method,"retrofit2.Invocation#annotationUrl()",ok,compiles,2,4.7,5e561af5b500,ok,compiles,2,4.5,5e561af5b500
retrofit-0031,retrofit,retrofit2/RequestFactory.java,field,"retrofit2.RequestFactory#hasBody",ok,compiles,1,3.9,b0bf2b823b4b,ok,compiles,1,3.6,b0bf2b823b4b
retrofit-0032,retrofit,retrofit2/OkHttpCall.java,method,"retrofit2.OkHttpCall#parseResponse(okhttp3.Response)",ok,compiles,12,6.5,8f1bae0f58af,ok,compiles,12,6.8,8f1bae0f58af
retrofit-0033,retrofit,retrofit2/OkHttpCall.java,method,"retrofit2.OkHttpCall#enqueue(Callback<T>)",ok,fails,12,6.1,c218395c0eb5,ok,compiles,12,6.0,7163bb860d53
